Barcode,Itemno,Description,Category,Product Group,R.Price
0000001377934,168178,IDEAL NATURE SP WATER 12X330ML,BEVERAGES,WATER, 8.70 
0000001377958,168177,IDEAL NATURE SP WATER 12X500ML,BEVERAGES,WATER, 10.44 
0000002553,129422,GATORADE FRUIT PUNCH PET 350ML,BEVERAGES,"ENERGY, VITAMIN& SPORT DRINKS", 2.61 
0000002930473,127570,AL AIN STIRRED FRT YGT150GX6,ULTRA FRESH,YOGOURT, 7.61 
0000005097913,177561,AL SHAM POMEGRNTE MOLASES700ML,BEVERAGES,SYRUPS & ROSE WATER, 9.35 
0000011501916,158940,DUBAI MAC CORNI/VERMI 4X200GM,DRY FOOD,DRYFOOD PROMOTION, 7.83 
000001234,129420,GATORADE ORANGE PET 350ML,BEVERAGES,"ENERGY, VITAMIN& SPORT DRINKS", 2.61 
00000207027,175488,AMAZON SAUCE  ASSORTED 2X98ML,DRY FOOD,DRYFOOD PROMOTION, 4.57 
0000021128592,158784,MARMUM JUICE 2X1.75LT,ULTRA FRESH,ULTRAFRESH PROMOTION, 13.70 
0000022335,129421,GATORADE LEMON LIME PET 350ML,BEVERAGES,"ENERGY, VITAMIN& SPORT DRINKS", 2.61 
0000023072541,107525,NATCO PINEAPPLE SLICES 20oz,DRY FOOD,CANNED FRUITS, 3.92 
0000023072619,107526,NATCO LYCHEES 20OZ,DRY FOOD,CANNED FRUITS, 4.57 
0000023072633,107527,NATCO MANGO SLICES SYRUP 15OZ,DRY FOOD,CANNED FRUITS, 3.92 
0000023072671,107528,NATCO RAMBUTTAN 20oz,DRY FOOD,CANNED FRUITS, 4.61 
0000024056090,155745,P/HARVEST AUSSIE LITESOY W  1L,DRY FOOD,SAUCES/DRESSING, 11.27 
0000024501446,107508,FAMILY LT MT TUNA SOLD 200GM,DRY FOOD,CANNED FISH, 4.79 
0000024501484,107506,FAMILY WHT MEAT TUNA CHNK185gm,DRY FOOD,CANNED FISH, 5.18 
0000024501507,107507,FAMILY WHT MAT TUNA SOLD 200gm,DRY FOOD,CANNED FISH, 5.18 
0000024501897,107397,FAMILY SLICED OLIVES GRN200GM,DRY FOOD,PICKLES/OLIVE/RELISHES, 4.57 
0000024501903,107399,FAMILY SLICED OLIVES BLCK200GM,DRY FOOD,PICKLES/OLIVE/RELISHES, 6.31 
0000024501927,107400,FAMILY SLCD JALAPNOSinBRN300GM,DRY FOOD,PICKLES/OLIVE/RELISHES, 11.27 
0000028890560,165644,PARMALAT POMI PASSATA 6X200GM,DRY FOOD,DRYFOOD PROMOTION, 13.05 
0000029001002,107315,FAMILY KERNAL BASMATI RICE5KG,DRY FOOD,RICE, 29.58 
0000029010561,107316,FAMILY KERNAL BASMATI RICE20KG,DRY FOOD,RICE, 103.53 
0000040111216,104268,BOUNTY STANDARD 58G,DRY FOOD,CHOCOLATE, 2.39 
000004029908,128118,SNICKERS MINITURES XM ORN 34G,DRY FOOD,CHOCOLATE, 2.18 
0000050241385,115381,ELMLEA SINGLE CREAM 284G,ULTRA FRESH,DESSERT, 10.27 
0000050241903,115379,ELMLEA DOUBLE CREAM 284G,ULTRA FRESH,DESSERT, 13.27 
000011436317,127511,LACNOR JUICE 125MLX14,BEVERAGES,NON CARBONATED DRINKS, 9.14 
00001232507,183551,STARBUCK FRAP COFFE MOCHA281ML,BEVERAGES,NON CARBONATED DRINKS, 8.70 
00001241505,183552,STARBUCK FRAP COFFE VANIL281ML,BEVERAGES,NON CARBONATED DRINKS, 8.70 
0000196753421,201918,FBC BASIL SEED DRINK 290ML 2+1FREE,BEVERAGES,BEVERAGE PROMOTION, 7.66 
0000555089024,183113,LORENA ORANG BL WTR500ML+250ML,BEVERAGES,BEVERAGE PROMOTION, 13.92 
000555089017,183114,LORENA ROSE WATER 500ML+250ML,BEVERAGES,BEVERAGE PROMOTION, 8.70 
0012000022845,165429,7 UP FREE 12X355ML+FOOTBALL FR,BEVERAGES,BEVERAGE PROMOTION, 15.66 
0012000807591,165430,MIRINDA 12X355ML+FOOTBALL FREE,BEVERAGES,BEVERAGE PROMOTION, 15.66 
0021000600915,115442,KRFT SHRDD MOZZ&PRMS227G,DAIRY SS,DAIRY CHEESE, 18.92 
0021000621804,115443,KRFT SHRDD MOZZA RD 2%FAT198G,DAIRY SS,DAIRY CHEESE, 17.40 
0021000625031,115439,KRAFT SHRDD CHDR SHRP227G,DAIRY SS,DAIRY CHEESE, 18.92 
0021000625055,115438,KRAFT SHRDD CHEDR MILD 227G,DAIRY SS,DAIRY CHEESE, 18.92 
0021000632350,115440,KRAFT SHRDD COLBY&M/JACK 227G,DAIRY SS,DAIRY CHEESE, 17.40 
0021000638727,115444,KRAFT SHRED PIZZA 4 CHEES 227G,DAIRY SS,DAIRY CHEESE, 18.92 
0021000638734,115441,KRAFT SHRDD MEX TCO CHES 227G,DAIRY SS,DAIRY CHEESE, 18.92 
0021000638970,115437,KRAFT SHRDD CHEDR JCK 226G,DAIRY SS,DAIRY CHEESE, 18.92 
0024400471156,150262,MAJOR PETER MARGARITA MIX 1LT,BEVERAGES,NON CARBONATED DRINKS, 11.27 
0024400477002,150259,MAJOR PETER BLOODY MARY 1LT,BEVERAGES,NON CARBONATED DRINKS, 11.27 
0024400477095,150261,M.PETER BLOODY MARY H&SPICY 1L,BEVERAGES,NON CARBONATED DRINKS, 11.09 
0024400477101,150263,MAJOR PETER PINA COLADA MIX 1L,BEVERAGES,NON CARBONATED DRINKS, 11.27 
0024400477804,150264,M.PETER SWEET LIME JUICE 1LT,BEVERAGES,NON CARBONATED DRINKS, 12.14 
0024400477859,150260,MAJOR PETER GRANADINE SYRUP 1L,BEVERAGES,SYRUPS & ROSE WATER, 12.14 
0025293600898,187386,SILK SOYMLK UNSWETND 32Z,DAIRY SS,UHT MILK, 12.62 
0025293600904,187387,SILK SOYMLK PLAIN 32Z,DAIRY SS,UHT MILK, 12.62 
0025293600911,187388,SILK SOYMLK VANILA 32Z,DAIRY SS,UHT MILK, 12.62 
0031200452009,165290,OCEAN SPRAY CRANBERY CLASS 1LT,BEVERAGES,NON CARBONATED DRINKS, 9.14 
0031200452023,165291,OCEAN SPRAY CRANBERY BL/CU 1LT,BEVERAGES,NON CARBONATED DRINKS, 9.14 
0074472281045,191784,PRIMULA TUBE ORIGINAL 150G,DAIRY SS,DAIRY CHEESE, 15.66 
